1	fiat	egea	kirmizi	2012	142.500000	152.500000
2	vw	golf	beyaz	2011	219.279999	279.899994
3	fiat	500x	kirmizi	2013	13.000000	89.500000
4	renault	kadjar	mavi	2016	130.720001	100.000000
5	audi	a3	siyah	2017	42.000000	107.948997
6	ford	mondeo	mavi	2018	91.199997	115.000000
7	vw	passat	mavi	2020	108.000000	122.500000
8	vw	tiguan	siyah	2015	200.300003	131.000000
9	vw	tiguan	bej	2016	300.000000	136.500000
10	honda	cr-v	bej	2013	8.500000	175.000000
11	audi	a5	beyaz	2009	206.000000	225.000000
12	hyundai	i20	siyah	2015	51.000000	248.750000
13	skoda	octavia	beyaz	2010	165.000000	181.500000
14	skoda	octavia	beyaz	2011	236.000000	286.949005
15	mazda	6	mavi	2012	120.000000	129.500000
16	peugeot	208	gri	2009	125.150002	47.500000
17	skoda	superb	beyaz	2007	174.598007	197.500000
18	dacia	duster	gumus	2008	226.000000	260.950012
19	volvo	v40	beyaz	2006	210.000000	105.000000
20	hyundai	i40	fume	2003	236.000000	94.000000
21	vw	polo	gri	2000	183.500000	56.000000
22	opel	astra	siyah	1999	193.000000	159.500000
23	peugeot	301	gumus	1998	112.000000	242.500000
24	renault	captur	mavi	2001	127.000000	65.250000
25	isuzu	d-max	beyaz	2002	55.000000	172.500000
26	hyundai	ix35	beyaz	2014	418.000000	77.000000
27	fiat	linea	fume	2014	142.000000	233.949997
28	fiat	fiorino	beyaz	2015	55.000000	41.000000
29	hyundai	accent	beyaz	2016	119.000000	51.500000
30	vw	jetta	beyaz	2017	62.000000	89.400002
31	dacia	lodgy	beyaz	2018	143.000000	41.500000
32	vw	touareg	gumus	2019	21.500000	315.000000
33	mrcds	a-seri	beyaz	2020	44.000000	109.000000
34	bmw	x2	beyaz	2016	144.000000	220.500000
35	volvo	s60	bej	2018	274.500000	112.500000
36	ford	focus	beyaz	2008	145.000000	54.000000
38	mazda	cx-5	kirmizi	2006	267.000000	92.000000
39	ford	focus	beyaz	2004	152.000000	55.000000
40	renault	symbol	beyaz	2004	260.000000	37.000000
41	mrcds	e-seri	siyah	2020	207.000000	145.000000
42	fiat	punto	kirmizi	2014	246.000000	43.500000
43	renault	fluence	gri	2013	169.000000	53.500000
44	citroen	c5	beyaz	2013	60.000000	64.948997
45	citroen	c4	beyaz	2020	76.000000	50.750000
46	citroen	nemo	mavi	2019	160.000000	35.400002
47	mrcds	a-seri	beyaz	2008	38.000000	125.000000
48	fiat	fiorino	beyaz	2009	95.000000	34.750000
49	seat	ibiza	beyaz	2002	90.000000	40.500000
50	vw	multi	siyah	1997	243.000000	57.500000
51	nissan	micra	siyah	2001	80.000000	42.250000
52	seat	ibiza	beyaz	2000	120.000000	28.950001
53	mrcds	c-seri	fume	2015	107.000000	95.750000
54	audi	a1	beyaz	2011	115.000000	54.000000
55	hyundai	era	kirmizi	2011	60.000000	30.200001
56	skoda	fabia	fume	2012	38.000000	37.799000
57	vw	golf	mavi	2013	115.000000	57.700001
58	hyundai	i30	siyah	2014	165.000000	41.250000
59	hyundai	getz	gri	2010	103.000000	29.750000
60	audi	a5	beyaz	2009	91.000000	104.000000
61	ford	fiesta	fume	2005	252.000000	37.700001
62	fiat	linea	bej	2008	152.899002	35.000000
63	opel	corsa	sari	2007	222.000000	38.750000
64	audi	a6	siyah	2006	210.000000	82.500000
65	citroen	c4	siyah	2007	279.350006	39.500000
66	fiat	sole	beyaz	2011	100.000000	100.000000
67	opel	astra	siyah	2016	140.000000	100.000000
